敏感行为,行为子项,相关API,相关权限,敏感数据项,敏感数据子项
1、一键登录（AccountKit-Codelab-QuickLogin-Clientdemo-ArkTS）,,,,,
本地录音,本地录音,@ohos.multimedia.media.AudioRecorder.start(callback: AsyncCallback<void>): void,ohos.permission.MICROPHONE,云空间同步/备份内容,音频/录音
,本地录音,@ohos.multimedia.media.AVRecorder.start(callback: AsyncCallback<void>): void,ohos.permission.MICROPHONE,云空间同步/备份内容,            音频/录音
,本地录音,@ohos.multimedia.audio.AudioCapturer.start(callback: AsyncCallback<void>): void,ohos.permission.MICROPHONE,云空间同步/备份内容,            音频/录音
接收短信,接收短信,"@ohos.commonEventManager.subscribe(subscriber: CommonEventSubscriber, callback: AsyncCallback<CommonEventData>): void",ohos.permission.RECEIVE_SMS,云空间同步/备份内容,            信息/短信
后台截屏/录屏,截屏,"@ohos.screenshot.save(options?: ScreenshotOptions, callback: AsyncCallback<image.PixelMap>): void",ohos.permission.CAPTURE_SCREEN,云空间同步/备份内容,              照片
,录屏,@ohos.multimedia.media.AVRecorder.start(callback: AsyncCallback<void>): void,"ohos.permission.CAPTURE_SCREEN
ohos.permission.MICROPHONE",云空间同步/备份内容,            照片/视频
拍照/摄像（打开摄像头）,打开相机,@ohos.multimedia.camera.CameraInput.open(): Promise<void>;,ohos.permission.CAMERA,屏幕操作记录,             打开相机
,拍照,@ohos.multimedia.camera.PhotoOutput.capture(setting?: camera.PhotoCaptureSetting): Promise<void>;,ohos.permission.CAMERA,屏幕操作记录,               拍照
2、鲸鸿动能广告（AdsKit-Codelab-Interstitial-ArkTS）,,,,,
开启/关闭位置服务,打开位置服务,@ohos.geolocation.requestEnableLocation(callback: AsyncCallback<void>): void;,ohos.permission.MANAGE_SECURE_SETTINGS,屏幕操作记录,          打开位置服务
获取地理位置,获取GPS定位信息,"@ohos.geolocation.getCurrentLocation(request: CurrentLocationRequest, callback: AsyncCallback<Location>): void","ohos.permission.APPROXIMATELY_LOCATION
ohos.permission.LOCATION",  精确位置信息,            经纬度信息
,获取GPS定位信息,@ohos.geolocation.getLastLocation(callback: AsyncCallback<Location>): void,"ohos.permission.APPROXIMATELY_LOCATION
ohos.permission.LOCATION（可选）",  精确位置信息,            经纬度信息
,获取GPS定位信息,"@ohos.geoLocation.on(type: ‘locationChange’, request: LocationRequest, callback: Callback<Location>): void","ohos.permission.APPROXIMATELY_LOCATION
ohos.permission.LOCATION（可选）",  精确位置信息,            经纬度信息
,获取小区信息,@ohos.telephony.radio->getCellInformation(callback: AsyncCallback<Array<CellInformation>>): void,"ohos.permission.LOCATION
ohos.permission.APPROXIMATELY_LOCATION",粗略位置信息,           小区位置
读取用户本机号码,读取本机电话号码,"@ohos.telephony.sim.getShowNumber(slotId: number, callback: AsyncCallback<string>): void","ohos.permission.GET_PHONE_NUMBERS
ohos.permission.GET_TELEPHONY_STATE",云空间同步/备份内容,            通讯录
,读取本机电话号码,"@ohos.telephony.sim.getSimAccountInfo(slotId: number, callback: AsyncCallback<IccAccountInfo>): void",ohos.permission.GET_TELEPHONY_STATE,云空间同步/备份内容,            通讯录
